Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
689,test lagi,testmarketing ,0,100,"March 24, 2021, 00:00","March 25, 2021, 23:59",1 days
673,CEBAN,CEBANTAGIHANDECEMBER,473,500,"December 25, 2020, 00:00","January 10, 2021, 23:59",16 days
98,SUKA RAJAKARCIS EXTEND,SUKARAJAKARCIS1,2,100,"June 6, 2016, 00:00","July 31, 2016, 23:59",55 days
110,CODA LONG CRAFT,DOKUUJOY,1,"1,000","August 12, 2016, 00:00","December 31, 2016, 23:59",141 days
206,GENITF&B,GENITF&B,7,500,"May 8, 2017, 00:00","June 30, 2017, 23:59",53 days
373,SUSHIROLL CEBAN APRIL,SUSHIROLLCEBAN4,0,100,"April 25, 2018, 00:00","May 5, 2018, 23:59",10 days
404,SPOTIFY CEBAN MEI ,SPOTIFYCEBAN5,53,100,"May 25, 2018, 00:00","June 5, 2018, 23:59",11 days
213,Lazada Pulsa 40K,LZDPULSA40,50,50,"June 21, 2017, 00:00","September 30, 2017, 23:59",101 days
2,Promo Test,,0,3,"December 21, 2015, 00:00","December 21, 2015, 23:59",0 days
826,CEBAN,CEBANGAMESFEB2,"1,500","1,500","January 25, 2023, 00:00","February 10, 2023, 23:59",16 days
891,CEBAN,DECEMBERJEMPOLANCODA,657,750,"November 25, 2023, 00:00","December 10, 2023, 23:59",15 days
71,Donbosco,DBPI,0,100,"March 28, 2016, 00:00","April 10, 2016, 23:59",13 days
48,TEST ENAL2,KENKO11,1,12,"February 16, 2016, 00:00","February 19, 2016, 23:59",3 days
388,test diorama oktagon,OKTAGONTEST,0,100,"May 2, 2018, 00:00","May 5, 2018, 23:59",3 days
338,Spotify MUSIKAMU,MUSIKAMU,0,"1,000","February 1, 2018, 00:00","March 31, 2018, 23:59",58 days
716,testingcebangoc,goctest,0,10,"August 25, 2021, 00:00","September 10, 2021, 23:59",16 days
381,SUSHIROLLCEBANAN,SUSHIROLLCEBANAN,0,5,"April 26, 2018, 00:00","April 27, 2018, 23:59",1 days
19,PromoCodeRegister2,PromoCodeRegister2,1,3,"December 31, 2015, 00:00","January 9, 2015, 23:59",-355 days
619,testalfacart2,alfa1,0,100,"April 2, 2020, 00:00","April 4, 2020, 23:59",2 days
194,SMARKDOKU,SMARKDOKUPEDAS,0,350,"April 1, 2017, 00:00","May 31, 2017, 23:59",60 days
420,DOKU HEMAT BANGET  ,DOKUHEMAT10BGT ,71,400,"September 1, 2018, 00:00","December 31, 2018, 23:59",121 days
334,Bosbis Promo,DOKUBOSBIS,0,"1,500","February 1, 2018, 00:00","March 31, 2018, 23:59",58 days
755,LORDOKU,ANAKLAMA,5,500,"December 27, 2021, 00:00","January 10, 2022, 23:59",14 days
467,DOKU CEBAN,TAGIHANCEBAN1,500,500,"January 25, 2019, 00:00","February 10, 2019, 23:59",16 days
920,CEBAN,CEBANGOC77,458,750,"July 25, 2024, 00:00","August 10, 2024, 23:59",16 days
465,DOKU SPECIAL,DOKU50,0,40,"January 15, 2019, 00:00","January 21, 2019, 23:59",6 days
375,GENFLIX CEBAN APRIL,CEBANGENFLIX,2,100,"April 25, 2018, 00:00","May 5, 2018, 23:59",10 days
768,TESBRI,TESBRIJINAH,0,10,"March 10, 2022, 00:00","March 12, 2022, 23:59",2 days
849,CEBAN,CEBANGOCMEI,750,750,"April 25, 2023, 00:00","May 10, 2023, 23:59",15 days
630,CEBAN APRIL ,PULSACEBAN04,220,500,"April 25, 2020, 00:00","May 10, 2020, 23:59",15 days
